Type,Description,Image Path
fire,"fire type, medium-sized, dark gray, vulpine, sleek fur, coal-like patches on body, bright yellow eyes, large bushy tail with smoldering ember tips, swift and agile movements, pointed ears, nimble paws.",image_2/fire/19_4.png
fire,"fire type, medium-sized, crimson, avian, golden-feathered wings, sharp beak, long talons, fierce eyes, fiery crest atop its head, blazing trails when flying.",image_2/fire/20_1.png
fire,"Entry example: fire type, medium-sized, white and red, avian, flame patterns on wings, sharp talons, intense gaze, flame crest on head.",image_2/fire/21_1.png
fire,"fire type, medium-sized, red, canine-like, black stripes, fluffy cream-colored mane and tail, sturdy legs, sharp claws, fierce eyes, distinctive black nose",image_2/fire/22_4.png
fire,"fire type, medium-sized, fox-like, reddish-orange fur, white-tipped tail, slender legs, pointed ears, bright eyes, small flames on its back.",image_2/fire/23_5.png
fire,"Fire type, medium-sized, red and yellow, feline, fluffy mane, sleek body, sharp claws, vibrant eyes, flames at ear tips.",image_2/fire/24_5.png
fire,"fire type, medium-sized, dark red, leonine, tan underside, muscular build, flowing mane resembling flames, fierce eyes, sharp retractable claws, tail ending in a blazing tuft of fire.",image_2/fire/25_1.png
fire,"fire type, medium-sized, dark red, quadrupedal canine, black stripes across its body, fluffy cream-colored mane, bushy tail, small pointed ears, sharp fangs, bright orange eyes.",image_2/fire/26_2.png
fire,"fire type, medium-sized, red, quadrupedal, sleek body, black underside, sharp claws, pointed ears, two curved horns on the head, tail with a blazing flame at the tip.",image_2/fire/27_2.png
fire,"fire type, medium-sized, red and black, canine, bushy tail, sharp ears, muscular build, orange mane around its neck, fierce eyes, produces intense heat from its body.",image_2/fire/28_2.png
fire,"fire type, medium-sized, tan and red, quadrupedal, black markings across its body, sturdy build, sharp horn on its forehead, fiery mane that trails down its back, intense eyes, flickering flames around its paws.",image_2/fire/29_2.png
fire,"fire type, medium-sized, red and black, canine-like, cream-colored chest and underbelly, sharp ears, powerful legs, intense eyes, flames emanating from its furry tail tuft.",image_2/fire/30_2.png
water,"water type, small, sea-green, frog-like, smooth slippery skin with speckles on its back, vibrant yellow eyes that shine in the dark, webbed feet with membranous fingers, long flowing tail resembling a water lily, two rounded digits",image_2/water/1_5.png
water,"large, sleek, dark-blue, dolphin-like, smooth skin with silver streaks along its sides, small fin on its back, bright golden eyes, long flipper-fins with small webbed digits, white underbelly that extends from its chin",image_2/water/2_4.png
water,"Water type, medium-sized, dark blue, dolphin-like, sleek and streamlined body, lighter blue underbelly, small fin on its back, intelligent bright green eyes, long tapered tail, flippers resembling webbed hands.",image_2/water/3_1.png
water,"Water type, medium-sized, navy blue, dolphin-like, sleek and smooth skin with lighter blue belly, bright yellow eyes, crescent-shaped dorsal fin on its back, long and slender tail, two pointed flippers on each side.",image_2/water/4_5.png
water,"water type, medium-sized, sleek, dolphin-like, shiny silver skin with a light blue underbelly, expressive deep blue eyes, streamlined dorsal fin and tail, two large flippers with webbed digits, a series of small white spots along its",image_2/water/5_3.png
water,"Water type, medium-sized, sleek and elongated form, smooth navy blue skin with lighter streaks along its sides, streamlined body designed for speed in water, dorsal fin running along its back, two pectoral fins with slightly webbed digits, large",image_2/water/6_5.png
water,"Water type, medium-sized, dark blue, dolphin-like, sleek streamlined body with a lighter blue underbelly, bright turquoise eyes, two fin-like appendages on its back, crescent-shaped tail, four webbed flippers with a small white",image_2/water/7_1.png
water,"Water type, medium-sized, deep-sea blue, dolphin-like, sleek streamlined body with white-patterned underside, playful sparkling eyes, long flowing dorsal fin, smooth aquatic flippers with webbed fingers on each limb.",image_2/water/8_1.png
water,"water type, medium-sized, dark blue, dolphin-like, sleek shiny body with a lighter blue underside, joyful light blue eyes, dorsal fin adorned with silvery streaks, elegant flipper-like limbs with webbed ends, small white spots fleck",image_2/water/9_4.png
water,"water type, medium-sized, dark blue, dolphin-like, sleek streamlined body with silver markings, elongated fin on its back, bright azure eyes, smooth skin, agile flippers with four small digits on each, playful demeanor.",image_2/water/10_2.png
water,"water type, medium-sized, navy blue, dolphin-like, sleek body with a pale gray underbelly, fin on its back resembling a crest, large round eyes that are azure, short flippers with two pointed digits, long tail ending in a",image_2/water/11_2.png
water,"water type, medium-sized, deep blue, dolphin-like, sleek body with wave-patterned markings, small fin on its back, bright silver eyes, playful expression, two flippers on each side with a smooth edge, a crescent-shaped tail with",image_2/water/12_4.png
water,"large, grayish-blue, whale-like, smooth and glistening skin, pale underbelly with navy-blue patches, small beady eyes, four elongated fins, massive mouth lined with baleen-like fringes, powerful fluke with ocean-wave",image_2/water/13_3.png
water,"water type, medium-sized, deep blue, frog-like, smooth glossy skin with white spots, webbed feet and hands, large round orange eyes, streamlined body with a thin dorsal fin running from head to tail, three digits on each hand and foot",image_2/water/14_4.png
water,"Water type, medium-sized, dark blue, dolphin-like, sleek and smooth skin, white belly with gentle wave-like patterns, bright turquoise eyes, a dorsal fin shaped like a crescent moon, two flipper-like front limbs with light gray tips,",image_2/water/15_3.png
water,"water type, medium-sized, navy blue, dolphin-like, sleek body with white underbelly, streamlined dorsal fin, bright aqua eyes, elongated beak-like snout, two dorsal fins on its back, flipper-like limbs with webbed digits",image_2/water/16_1.png
water,"water type, medium-sized, deep blue, dolphin-like, sleek and smooth body with pale gray underbelly, large expressive eyes with a gentle gaze, streamlined dorsal fin, two flippers on each side with a curved shape, tail fin resembling a",image_2/water/17_4.png
water,"water type, medium-sized, navy blue, dolphin-like, smooth skin with a lighter blue underside, sparkling aqua eyes, two dorsal fins on its back, sleek fins with silver tips, playful expression, streamlined body for fast swimming.",image_2/water/18_5.png
water,"water type, medium-sized, sleek dark-blue body, dolphin-like with a smooth dorsal fin, shiny silver underbelly, bright aqua eyes, slender flippers, two thin antennae-like protrusions on top of its head, single crescent-shaped",image_2/water/19_3.png
water,"water type, medium-sized, dark blue, dolphin-like, smooth streamlined body with white patterns, glowing aqua-blue eyes, small fin-like ears, sleek dorsal fin on its back, flipper-like limbs with two digits.",image_2/water/20_1.png
water,"Water type, medium-sized, dark blue, dolphin-like, sleek streamlined body with a glossy finish, finned tail with lighter blue tips, oval-shaped eyes with a hint of silver, dorsal fin on its back, two small pectoral fins on",image_2/water/21_3.png
water,"water type, medium-sized, navy blue, dolphin-like, smooth skin with bright white underbelly, sleek streamlined body, small round eyes, fin-like appendages on its forelimbs, forked tail with flowing tips, two small dorsal fins",image_2/water/22_5.png
water,"water type, medium-sized, navy blue, dolphin-like, sleek streamlined body with silver accents, dorsal fin with a pearlescent sheen, gentle aqua-colored eyes, slender flippers adorned with fin-like edges, a split tail fin that resembles a wave",image_2/water/23_2.png
water,"Water type, medium-sized, dark blue, dolphin-like, smooth skin with a lighter blue underbelly, bright aqua eyes, streamlined body with a sleek dorsal fin, short flippers with two rounded digits on each, a crescent-shaped tail fin",image_2/water/24_1.png
water,"water type, large, dark-blue, shark-like body with a streamlined shape, white underbelly, fierce red eyes, long dorsal fin with jagged edges, sharp pointed pectoral fins, powerful tail fin with a crescent shape, two",image_2/water/25_3.png
water,"water type, medium-sized, navy-blue, dolphin-like, sleek body with lighter underbelly, bright turquoise eyes, fin-like appendages on its back, long streamlined tail with a crescent-shaped fin, webbed digits on each limb.",image_2/water/26_4.png
water,"water type, sleek, navy blue, dolphin-like, smooth silvery underbelly, bright pink eyes, streamlined body with a fin along its back, flipper-like limbs with two pointed digits, small fan-shaped tail at the end.",image_2/water/27_3.png
water,"Water type, medium-sized, sleek, mermaid-like, shimmering scales in shades of teal and aqua, long flowing tail with iridescent fins, graceful flippers with webbed fingers, serene azure eyes, delicate coral-colored crest on its head,",image_2/water/28_3.png
water,"Water type, medium-sized, navy blue, dolphin-like, smooth sleek body with a white underbelly, sparkling silver fins, bright turquoise eyes, long elegant tail with a crescent-shaped fin, two small pointed fins on its back.",image_2/water/29_5.png
water,"Water type, medium-sized, navy blue, dolphin-like, sleek streamlined body with silver patterns along its sides, large sparkling turquoise eyes, long flowing dorsal fin, two pectoral fins and a prominent tail fin, two tiny round ears on top of",image_2/water/30_3.png
grass,"grass type, medium-sized, bright-green quadruped, long vines extending from its back, yellow eyes, three-toed feet with sharp claws, leafy crest on its forehead, light-green spots scattered across its body.",image_2/grass/1_5.png
grass,"grass type, medium-sized, dark-green biped, broad leafy cloak draped over shoulders, sharp yellow eyes, thick woody antlers adorned with flowering vines, sturdy three-toed feet, small plant-like crest on forehead.",image_2/grass/2_3.png
grass,"Grass type, medium-sized, vibrant green biped, long vines extending from arms, round blue eyes, three-leaf clover on top of head, two sharp leaf blades protruding from elbows.",image_2/grass/3_3.png
grass,"grass type, small, lime-green reptilian creature, wide frilled leaf collar around neck, bright yellow eyes with slit pupils, tiny claws on each limb, short tail tipped with a budding flower, dark-green stripes along its back.",image_2/grass/4_1.png
grass,"tall and slender, grass type, bright-yellow petals resembling a sunhat, green leafy arms with frond-like fingers, cheerful expression with small eyes and a wide smile, sturdy bark-like legs with leafy sandals, textured vine tail trailing behind, covered",image_2/grass/5_3.png
grass,"grass type, medium, bright green biped, broad leafy tail, yellow eyes, two vine-like appendages extending from shoulders, slender body covered in small dark green spots, wide flat feet with three toes.",image_2/grass/6_4.png
grass,"Entry example: grass type, slim, emerald-green biped, two large leaves on its back forming a wing-like shape, bright yellow eyes, sleek body with a long vine tail, small brown buds around its ankles.",image_2/grass/7_3.png
grass,"grass type, medium-sized, bright green bipedal, long leafy arms with thorn-like extensions, glowing yellow eyes, broad smile, sturdy legs with three-toed feet, vibrant flowers blooming along its shoulders.",image_2/grass/8_2.png
grass,"large, grass type, vibrant-green bipedal, wide leafy wings that extend from its back, bright yellow eyes, long vine-like arms with three-fingered hands, sturdy trunk-like legs, large blossom at the top of its head.",image_2/grass/9_1.png
grass,"Grass type, medium-sized, vibrant green bipedal, wide leaves fanning out from its back forming a cape-like appearance, bright yellow eyes, a small flower blooming on its forehead, two long vines extending from each arm, with tiny green th",image_2/grass/10_2.png
grass,"grass type, medium-sized, bright green serpentine, long vine-like appendages extending from back, vibrant yellow underbelly, sleek head with elongated snout, elegant leaf crest on tail, sparkling emerald eyes.",image_2/grass/11_2.png
grass,"grass type, medium-sized, light-green bipedal, broad leaves draping from arms, bright yellow eyes, two-toed feet with small claws, a ring of tiny flowers encircling its neck, a pointed crest on its head.",image_2/grass/12_3.png
grass,"grass type, medium-sized, bright-green quadruped, wide leafy fronds extending from its back, deep blue eyes, two claws on each sturdy leg, thick vine-like tendrils wrapping around its limbs.",image_2/grass/13_4.png
grass,"grass type, medium-sized, bright-green quadruped, vine-like tendrils extending from its back, round yellow eyes, two small leaves on each leg, light-brown spots scattered across its body.",image_2/grass/14_2.png
grass,"grass type, medium-sized, dark-green biped, leafy vines extending from arms, bright yellow eyes, two clawed toes on each foot, vibrant purple petals forming a collar around its neck.",image_2/grass/15_4.png
grass,"grass type, medium-sized, bright-green biped, two long leaves extending from its arms, small yellow eyes, round purple berries hanging from its waist, long slender legs with brown roots for feet.",image_2/grass/16_3.png
grass,"woodland-themed grass type, slim and elegant, deep emerald bipedal creature, long vine-like arms extending from shoulders, vivid yellow petals encircling its slender neck, large expressive blue eyes, leaf-patterned markings scattered across its body, delicate",image_2/grass/17_4.png
grass,"vine-like grass type, medium-sized, emerald-green quadruped, flexible tendrils extending from back, bright yellow eyes, stubby legs with two leaf-shaped toes, spiraling pattern along its spine.",image_2/grass/18_1.png
grass,"grass type, medium-sized, light-green biped, broad leafy crest on its head, bright yellow eyes, long vine-like arms ending in fern-like fronds, sturdy trunk-like legs, swirling patterns of darker green on its back.",image_2/grass/19_1.png
grass,"vine-covered, bright-green quadruped, long tendrils extending from back, vivid yellow eyes, wide flat feet with three stubby toes on each leg, small clusters of berries hanging under chin.",image_2/grass/20_4.png
grass,"grass type, medium-sized, bright-green bipedal creature, broad leafy fronds as arms, sparkling yellow eyes, vines wrapped around its torso, two small antennae with flower buds on its head, sturdy roots as feet.",image_2/grass/21_3.png
grass,"grass type, medium-sized, bright green biped, slender vines draping from its arms, round yellow eyes, large blooming flower on its back, broad leaves covering its shoulders and hips, sturdy two-toed feet, gentle fragrance emanating from its",image_2/grass/22_1.png
grass,"Grass type, medium-sized, bright-green biped, wide fan-like leaves extending from arms, vivid yellow eyes, two short antennae on head, long slender tail with leaf-like tip, small clusters of dark-green spots on back.",image_2/grass/23_4.png
grass,"Grass type, medium-sized, bright-green biped, long vines extending from arms, small yellow eyes, large leafy frill around neck, three-toed feet, subtle flower markings scattered across body.",image_2/grass/24_5.png
grass,"large, sunlight-yellow biped, leafy fronds extending from arms, small brown eyes, broad smile, long vine-like tail, dark-green vines wrapped around torso, three-leaf crest on head.",image_2/grass/25_3.png
grass,"Grass type, medium-sized, lime-green biped, leafy vines extending from its arms, bright yellow eyes, two broad leaves form a crest on its head, sturdy legs with three long nails, intricate vine patterns across its back.",image_2/grass/26_3.png
grass,"grass type, medium-sized, light-brown quadruped, leafy vine tail with a flower bud at the tip, bright yellow eyes, broad flat feet with two toes, delicate green fronds sprouting along its back.",image_2/grass/27_5.png
grass,"grass type, serpentine body, bright green scales, vibrant yellow fronds along its back, piercing blue eyes, slender limbs with sharp claws, delicate vines wrapped around its tail.",image_2/grass/28_5.png
grass,"tree-like Pokémon, elongated trunk-like body, vibrant green canopy of leaves atop head, large brown eyes, thick bark-like legs with broad roots spreading outwards, clusters of small red fruits hanging from branches, mossy growth covering parts of the bark.",image_2/grass/29_4.png
grass,"grass type, slender blue quadruped, bright yellow petals on its back, small purple eyes, webbed feet with white claws, vine-like tail with small leaves sprouting out.",image_2/grass/30_4.png
psychic,"psychic type, pink, levitating, star-shaped head, elongated snout, four small crescent-shaped appendages on the back, two flowing ribbons on each side, three slender digits on hands and feet.",image_2/psychic/1_3.png
psychic,"Psychic type, pink, quadrupedal, slender body with feline features, large round head, long thin tail with a bulbous tip, two large oval ears positioned on the sides, bright blue eyes, small hands and feet with three fingers and",image_2/psychic/2_5.png
psychic,"psychic type, pink, quadrupedal, feline-like body, long whip-like tail, blue eyes, round red gem on its forehead, large ears, slender limbs, three small toes on each paw.",image_2/psychic/3_2.png
psychic,"psychic type, blue, quadrupedal, sleek streamlined body, long flowing mane along its back, horn on forehead resembling a crystalline structure, violet eyes with a serene expression, two elongated tails with ribbon-like extensions.",image_2/psychic/4_4.png
psychic,"psychic type, pink, bipedal, star-shaped face, short rounded snout, two long antenna-like extensions on head, white flowing robe-like structure around body, five slender fingers on each hand and three toes on each foot.",image_2/psychic/5_4.png
psychic,"Psychic type, pastel pink, bipedal, round head with delicate features, large doe-like eyes, tuft of fur atop head, slender arms with ribbon-like extensions flowing from wrists, small paws with three fingers, long tail with a heart-shaped",image_2/psychic/6_5.png
psychic,"psychic type, pink, bipedal, sleek oval face, rounded snout, two large crescent-shaped ears, shimmering silver markings on its arms and chest, slender fingers with three digits, footpads with swirling patterns.",image_2/psychic/7_1.png
psychic,"psychic type, blue, bipedal, oval-shaped head, long slender tail, two large round eyes, sleek white markings on arms and legs, three elongated fingers and toes.",image_2/psychic/8_4.png
psychic,"psychic type, pale pink, quadrupedal, cat-like face, long tail with a bulbous tip, large pointed ears, sleek and slender body, three small toes on each paw.",image_2/psychic/9_5.png
psychic,"psychic type, pale blue, serpentine body, crescent-shaped head, long tapered tail, two slender antennae on top of the head, shimmering patterns adorning its scales, four fin-like extensions along its back.",image_2/psychic/10_1.png
psychic,"psychic type, purple, floating, spherical body, large hypnotic eyes, small mouth, two short antennae on top of head, ethereal mist surrounding body, two thin arms with four long fingers, no visible legs.",image_2/psychic/11_3.png
psychic,"Psychic type, pale blue, quadrupedal, sleek elongated body, long flowing tail, large graceful wings, shimmering crescent-shaped patterns on its sides, delicate crystal-like claws, luminous indigo eyes.",image_2/psychic/12_2.png
psychic,"dark purple, bipedal, crescent-shaped head with a glowing gem, slender arms, flowing white mane from head to back, sharp eyes, silver armor-like bands on wrists and ankles, three fingers and toe claws",image_2/psychic/13_3.png
psychic,"Psychic type, light blue, quadrupedal, feline-like face, sleek tail, glowing purple eyes, large crescent-shaped ears, translucent fin-like structures along its sides, four slender digits on each paw.",image_2/psychic/14_1.png
psychic,"psychic type, blue, quadrupedal, feline-like appearance, sleek body with fine fur, large pointed ears with a pinkish tinge inside, thin whip-like tail with a star-shaped tip, four slender paws with three toes each.",image_2/psychic/15_3.png
psychic,"Psychic type, light pink, quadrupedal, elongated neck, crescent-shaped tail tip, large oval eyes, two antenna-like protrusions on head, bulbous extensions on elbows and knees, five elongated digits on hands and feet.",image_2/psychic/16_5.png
psychic,"Psychic type, pink, quadrupedal, cat-like face, long slender tail, large blue eyes, round paws with three short digits, tufted fur on the head and neck, psychic aura surrounding the body.",image_2/psychic/17_1.png
psychic,"psychic type, purple, bipedal, long oval-shaped face, slender blue snout, two elongated ears, white fur-like extensions on shoulders and hips, four slender digits on hands and feet.",image_2/psychic/18_1.png
psychic,"Psychic type, purple, bipedal, oval-shaped head, narrow blue eyes, two thin antennae, flowing white cape-like appendage around its body, slender arms tapering to pointed tips, two pointed toes on each foot.",image_2/psychic/19_4.png
psychic,"Psychic type, pink, quadrupedal, feline-like face, elongated whiskers, two rounded ears, sleek white markings on forehead and tail, long slender tail with a bulbous tip, three sharp claws on each paw.",image_2/psychic/20_1.png
psychic,"psychic type, purple, bipedal, circular face, large round eyes, two floppy ears, star-shaped markings on its forehead, long flowing robe-like body, four slender digits on hands and feet.",image_2/psychic/21_5.png
psychic,"psychic type, purple, quadrupedal, cat-like face, long, slender tail, large oval ears, blue markings on forehead and tail tip, three paw pads on each foot.",image_2/psychic/22_4.png
psychic,"psychic type, lavender, bipedal, diamond-shaped face, long azure snout, two curved antennae, silver crescent-shaped markings on chest and back, four slender digits on hands and feet.",image_2/psychic/23_4.png
psychic,"psychic type, blue, quadrupedal, sleek body, large crest-like wings, small horn on forehead, two long ribbon-like tails, slender legs, four sharp digits on each foot.",image_2/psychic/24_3.png
psychic,"psychic type, blue, quadrupedal, long slender neck, crescent moon-shaped face, narrow eyes with a serene gaze, white flowing mane extending down its back, three-pronged tail, short legs with three curved claws on each foot.",image_2/psychic/25_3.png
psychic,"psychic type, pink, quadrupedal, slender body, crescent moon-shaped face, long flowing tail, large round eyes, three white elongated claws on each paw.",image_2/psychic/26_1.png
psychic,"Psychic type, pale purple, quadrupedal, sleek and slender body, feline-like features, long thin tail with a forked end, large almond-shaped eyes, two pointed ears, tufts of fur on chest, three clawed toes on",image_2/psychic/27_4.png
psychic,"Psychic type, purple, quadrupedal, crescent-shaped tail, slender horn on forehead, large red eyes, long neck, streamlined body, three sharp claws on each foot.",image_2/psychic/28_5.png
psychic,"Psychic type, pink, quadrupedal, feline-like face, long slender tail with an oval tip, pointed ears, blue gem embedded on forehead, three digits on each paw, sleek body with a smooth texture.",image_2/psychic/29_2.png
psychic,"Psychic type, violet, humanoid, oval-shaped head, large vivid eyes, two elegant antennae, ethereal cape-like extensions on back, five slender digits on hands and feet.",image_2/psychic/30_5.png
rock,"rock type, medium-sized, turtle-like, gray and blue stones, six bright yellow dots arranged in a circle on the face, segmented rock shell, thick limbs, flat feet.",image_2/rock/1_4.png
rock,"rock type, medium-sized, turtle-like, gray and blue stones, three blue crystals forming a triangle on its shell, mosaic-patterned shell, broad front limbs, stubby hind legs.",image_2/rock/2_1.png
